9,7	-0,7	2,4	0
6,9	-4,3	1,1	0
21,1	-4,7	7	0
11,6	9,6	0,5	1
27	12	13	1
25,6	9,6	2,8	1
15,1	2,4	6	1
13,9	0,6	11	0
12,2	3,2	7	0
24,5	12,6	0,2	1
29,8	13,4	17	0
30,2	15	6	1
30,9	15	9	0
30,1	16,8	4,1	1
23,4	14,8	0,5	1
26,7	10,6	17	1
27,8	10	9	0
20,4	4,8	11	0
11,5	-0,5	6	0
11	-0,3	1,2	0
16,4	5,4	10	0
16,5	5,8	7	0
17,6	3,8	0,7	0
17,7	5,8	2,6	1
25,6	13,6	1,4	1
30	14,2	10	0
20,3	8,8	8	0
24,3	16	4,7	1
19,3	9,4	18	0
17,5	6,4	0,6	1
20,1	7,4	12	0
21,8	8	11	1
17,3	5,2	1,4	1
17,3	1,6	0	0
16,4	8,6	1,2	0
13,9	3,6	8	0
13,5	3,2	9	0
2,7	-11,1	1,6	0
12,2	1,4	3,9	0
11	3,4	0,6	1
27,9	14,2	2	0
20,1	10,2	3,8	0
19,3	6,6	2	0
27,7	9,4	9	0
20,4	10,4	11	0
19,5	6,6	1,8	0
19,5	6,8	1,6	0
19,1	5,6	0,9	0
32,4	14,4	3,4	1
25,2	14,8	3,1	0
22,3	9,6	3	0
18,3	7	7	0
19,3	9	2,3	0
18,9	6,2	0,8	0
15,7	5,8	13	0
14,8	4,4	6	0
14,4	1,2	11	0
22	6,4	1,3	1
26,2	10,8	3,4	1
22,7	10	2,8	1
29,2	11	6	0
28,8	13,8	3,9	0
23,9	8,8	2,8	1
22,9	8,8	13	0
19,1	6,6	15	0
16,5	4	12	1
26,7	11,8	1,5	0
31,2	16,8	6	1
25,6	7,6	17	0
27,9	12,6	5	1
19,1	9,8	9	0
20,8	7,8	1,5	1
25,9	10,6	6	0
19	6,2	3,7	1
24,6	8,6	8	0
18,9	5,4	11	0
17	5,2	0,4	0
18,5	8,6	23	0
18,3	7	1,9	0
