12	0	-6	-12	-16	-27	-37	1	   
12	-3	-11	-11	-27	-24	-32	0	   
15	0	-8	-5	-17	-18	-32	0	   
20	5	-5	-1	-11	-18	-29	0	   
18	4	-9	0	-20	-20	-28	0	   
19	4	-11	-3	-29	-22	-36	0	   
17	4	-6	-8	-24	-25	-38	0	   
16	2	-8	-7	-23	-23	-38	0	   
18	2	-12	-7	-23	-26	-40	0	   
18	2	-2	-8	-10	-26	-29	0	   
1	-12	-16	-17	-28	-30	-42	0	   
3	-12	-17	-20	-29	-33	-43	0	   
9	-6	-15	-17	-24	-30	-34	0	   
15	0	-14	-9	-27	-27	-39	0	   
16	3	-1	-5	-6	-23	-26	0	   
23	10	-1	-4	-5	-22	-24	0	   
24	8	7	-2	-2	-19	-19	0	   
19	7	3	-2	-5	-19	-23	0	   
15	4	2	-3	-4	-18	-20	1	   
12	0	-4	-4	-7	-18	-26	0	   
18	2	-12	-1	-12	-18	-29	0	   
21	6	-3	-1	-19	-20	-36	0	   
24	8	0	0	-2	-18	-26	0	   
25	11	8	-1	-2	-20	-25	1	   
24	10	6	-3	-14	-19	-32	1	   
26	11	-1	-3	-8	-18	-31	0	   
22	9	8	0	-1	-18	-26	1	   
22	9	5	-4	-7	-20	-29	0	   
19	5	-12	-4	-4	-20	-24	0	   
20	3	-7	0	-1	-16	-19	0	   
16	4	1	-1	-2	-17	-18	0	   
20	6	2	-4	-5	-22	-32	0	   
22	7	-1	-5	-13	-19	-35	0	   
21	8	2	-1	-9	-18	-23	0	   
26	12	5	1	-7	-15	-28	0	   
21	9	8	0	0	-17	-22	0	   
20	4	-1	-4	-24	-18	-37	0	   
20	4	-2	-5	-16	-26	-36	0	   
23	8	3	-1	-5	-14	-17	0	   
25	10	7	-2	-9	-16	-27	0	   
21	6	0	-3	-25	-19	-29	0	   
19	4	0	-3	-4	-18	-20	0	   
15	8	7	2	2	-20	-32	0	   
18	2	-2	-2	-14	-17	-37	0	   
20	6	2	1	-15	-16	-27	0	   
23	8	3	1	-15	-15	-32	0	   
26	11	5	1	-4	-13	-23	0	   
31	15	7	4	-2	-12	-19	1	   
31	10	9	4	1	-13	-25	1	   
25	11	11	2	-7	-14	-37	1	   
22	13	11	1	-4	-18	-32	0	   
20	9	7	-2	-7	-18	-19	1	   
24	10	4	3	1	-16	-17	1	   
27	12	8	1	-7	-14	-15	0	   
24	10	10	1	-2	-14	-24	0	   
24	9	-2	4	-16	-12	-36	0	   
28	12	3	2	-5	-11	-17	0	   
29	14	7	3	-9	-12	-27	0	   
29	13	0	4	-25	-13	-29	0	   
27	15	0	3	-4	-12	-20	0	   
28	13	7	0	2	-16	-32	1	   
29	7	2	0	-14	-15	-37	0	   
25	4	2	1	-15	-15	-27	0	   
27	12	10	2	2	-13	-22	1	   
27	13	10	3	1	-13	-14	1	   
27	13	7	2	0	-12	-21	1	   
28	13	11	2	0	-12	-24	1	   
23	12	11	3	2	-10	-10	1	   
30	15	8	4	-2	-10	-20	0	   
35	20	2	5	-2	-11	-23	0	   
32	18	2	5	-3	-14	-15	1	   
30	14	8	3	-4	-10	-25	0	   
28	17	11	5	0	-11	-19	1	   
29	16	12	4	2	-12	-33	1	   
32	17	6	4	-2	-12	-16	0	   
32	16	12	5	-3	-11	-22	1	   
32	16	9	3	-11	-11	-26	0	   
32	17	11	5	-3	-11	-28	0	   
30	13	10	5	-4	-11	-27	0	   
27	13	9	6	-10	-13	-30	0	   
25	10	7	5	-19	-12	-32	0	   
29	13	4	2	-9	-12	-29	0	   
28	12	9	3	-4	-14	-22	0	   
30	16	10	2	-2	-13	-24	0	   
25	9	1	3	-30	-13	-35	0	   
23	9	-1	3	-17	-14	-28	0	   
25	11	-5	-4	-15	-12	-28	0	   
27	10	4	1	-4	-12	-23	0	   
28	14	10	3	1	-12	-15	0	   
31	15	4	4	0	-12	-17	0	   
27	13	12	4	3	-12	-21	1	   
23	7	4	2	2	-12	-20	0	   
21	6	-5	1	-14	-13	-23	0	   
23	7	1	-1	-10	-15	-27	0	   
26	10	3	1	-5	-15	-26	0	   
28	12	6	1	-7	-15	-26	0	   
29	13	6	1	-2	-16	-24	0	   
33	19	3	4	-2	-14	-18	1	   
27	11	2	3	-4	-18	-41	1	
